cod_ibge,municipio,ano,populacao
4100103,Abatiá - PR,População residente estimada,7233
4100202,Adrianópolis - PR,População residente estimada,6319
4100301,Agudos do Sul - PR,População residente estimada,10770
4100400,Almirante Tamandaré - PR,População residente estimada,125861
4100459,Altamira do Paraná - PR,População residente estimada,3496
4100509,Altônia - PR,População residente estimada,18634
4100608,Alto Paraná - PR,População residente estimada,14183
4100707,Alto Piquiri - PR,População residente estimada,9771
4100806,Alvorada do Sul - PR,População residente estimada,10481
4100905,Amaporã - PR,População residente estimada,4688
4101002,Ampére - PR,População residente estimada,20337
4101051,Anahy - PR,População residente estimada,2971
4101101,Andirá - PR,População residente estimada,19989
4101150,Ângulo - PR,População residente estimada,3357
4101200,Antonina - PR,População residente estimada,18140
4101309,Antônio Olinto - PR,População residente estimada,7048
4101408,Apucarana - PR,População residente estimada,134910
4101507,Arapongas - PR,População residente estimada,124838
4101606,Arapoti - PR,População residente estimada,26325
4101655,Arapuã - PR,População residente estimada,3573
4101705,Araruna - PR,População residente estimada,14894
4101804,Araucária - PR,População residente estimada,162247
4101853,Ariranha do Ivaí - PR,População residente estimada,2351
4101903,Assaí - PR,População residente estimada,13477
4102000,Assis Chateaubriand - PR,População residente estimada,38357
4102109,Astorga - PR,População residente estimada,26203
4102208,Atalaia - PR,População residente estimada,4046
4102307,Balsa Nova - PR,População residente estimada,13867
4102406,Bandeirantes - PR,População residente estimada,31747
4102505,Barbosa Ferraz - PR,População residente estimada,10580
4102604,Barracão - PR,População residente estimada,9903
4102703,Barra do Jacaré - PR,População residente estimada,2872
4102752,Bela Vista da Caroba - PR,População residente estimada,4122
4102802,Bela Vista do Paraíso - PR,População residente estimada,14982
4102901,Bituruna - PR,População residente estimada,15650
4103008,Boa Esperança - PR,População residente estimada,4595
4103024,Boa Esperança do Iguaçu - PR,População residente estimada,2421
4103040,Boa Ventura de São Roque - PR,População residente estimada,6241
4103057,Boa Vista da Aparecida - PR,População residente estimada,8023
4103107,Bocaiúva do Sul - PR,População residente estimada,13405
4103156,Bom Jesus do Sul - PR,População residente estimada,4072
4103206,Bom Sucesso - PR,População residente estimada,6674
4103222,Bom Sucesso do Sul - PR,População residente estimada,3244
4103305,Borrazópolis - PR,População residente estimada,7818
4103354,Braganey - PR,População residente estimada,4745
4103370,Brasilândia do Sul - PR,População residente estimada,3861
4103404,Cafeara - PR,População residente estimada,2648
4103453,Cafelândia - PR,População residente estimada,20145
4103479,Cafezal do Sul - PR,População residente estimada,4580
4103503,Califórnia - PR,População residente estimada,8963
4103602,Cambará - PR,População residente estimada,23393
4103701,Cambé - PR,População residente estimada,110923
4103800,Cambira - PR,População residente estimada,10045
4103909,Campina da Lagoa - PR,População residente estimada,16014
4103958,Campina do Simão - PR,População residente estimada,3954
4104006,Campina Grande do Sul - PR,População residente estimada,50600
4104055,Campo Bonito - PR,População residente estimada,3997
4104105,Campo do Tenente - PR,População residente estimada,7693
4104204,Campo Largo - PR,População residente estimada,144504
4104253,Campo Magro - PR,População residente estimada,31888
4104303,Campo Mourão - PR,População residente estimada,104122
4104402,Cândido de Abreu - PR,População residente estimada,15081
4104428,Candói - PR,População residente estimada,15174
4104451,Cantagalo - PR,População residente estimada,10672
4104501,Capanema - PR,População residente estimada,21088
4104600,Capitão Leônidas Marques - PR,População residente estimada,14776
4104659,Carambeí - PR,População residente estimada,24469
4104709,Carlópolis - PR,População residente estimada,17788
4104808,Cascavel - PR,População residente estimada,368195
4104907,Castro - PR,População residente estimada,75644
4105003,Catanduvas - PR,População residente estimada,10621
4105102,Centenário do Sul - PR,População residente estimada,10903
4105201,Cerro Azul - PR,População residente estimada,16287
4105300,Céu Azul - PR,População residente estimada,11255
4105409,Chopinzinho - PR,População residente estimada,21604
4105508,Cianorte - PR,População residente estimada,82988
4105607,Cidade Gaúcha - PR,População residente estimada,11705
4105706,Clevelândia - PR,População residente estimada,14833
4105805,Colombo - PR,População residente estimada,241672
4105904,Colorado - PR,População residente estimada,23313
4106001,Congonhinhas - PR,População residente estimada,8445
4106100,Conselheiro Mairinck - PR,População residente estimada,3474
4106209,Contenda - PR,População residente estimada,20006
4106308,Corbélia - PR,População residente estimada,17933
4106407,Cornélio Procópio - PR,População residente estimada,45720
